UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
267,M267,H,296.8595505602191,307.3599549775586,1471.512450663033,44.71542380418206,221,0.0,No Failure
268,M268,M,298.54572564835024,308.77646181818943,1474.382024750462,21.6885512166165,113,1.0,Heat Dissipation Failure
269,M269,L,299.504962728897,309.92592640590317,1475.850255412922,27.715561687342372,234,0.0,No Failure
270,M270,L,299.8511331417999,309.14139555096546,1493.823580013987,19.244119909214668,124,0.0,No Failure
271,M271,M,301.24134419510136,308.6151580402523,1547.9441518086064,39.13930307209107,123,0.0,No Failure
272,M272,L,300.3554020018665,307.18736507265635,1587.4517074132523,38.49679539728128,29,0.0,No Failure
273,M273,M,297.3293112825798,309.83378885474264,1435.0234773151733,36.73303786813636,7,1.0,Random Failure
274,M274,L,300.7603957020119,306.990559251938,1379.6799144610854,29.574223053294237,97,0.0,No Failure
275,M275,L,301.22117149056766,311.5201119273792,1395.7955587756896,28.2776624656336,56,0.0,No Failure
276,M276,H,301.1195808958621,310.164879505869,1451.2797078805072,44.64369863546574,110,0.0,No Failure
277,M277,H,302.16156145110926,307.08489700107015,1464.807868218349,34.494480682915125,72,0.0,No Failure
278,M278,L,301.6678443090978,309.38158184590026,1423.0003933802543,43.16358321536145,114,1.0,Power Failure
279,M279,L,300.9183601584569,308.4956871888188,1370.3883335750106,31.147513138757773,19,0.0,No Failure
280,M280,H,299.8596685770827,310.63834902083835,1454.3879172525812,41.81062742771083,231,0.0,No Failure
281,M281,H,296.67807813296804,312.6809008920463,1518.142662011397,53.032780373160634,24,0.0,No Failure
282,M282,H,300.85923643826516,306.2496550607085,1559.5029465835564,45.861658003927836,18,0.0,No Failure
283,M283,M,300.41537537432623,310.2300521582948,1444.257694689168,35.875861817835194,4,0.0,No Failure
284,M284,L,300.5431576743907,309.6797344088667,1458.7002177856566,42.571989703559275,74,1.0,Overstrain Failure
285,M285,H,297.4465028483594,311.3426801529009,1407.330169115269,37.59334825469787,206,1.0,Power Failure
286,M286,L,297.83788691918346,310.42639325647536,1496.8560829625224,40.07880184694728,127,1.0,Tool Wear Failure
287,M287,M,302.1063057066658,308.49606133652236,1415.1571365809186,36.743889478514966,71,1.0,Tool Wear Failure
288,M288,M,299.92088969228666,309.36189212866674,1557.31278132412,38.356647941146086,210,0.0,No Failure
289,M289,H,301.36300139474525,308.40794828639304,1321.4133508065888,42.12093353074175,214,0.0,No Failure
290,M290,M,300.05663675226094,312.1520142771972,1464.0370327547537,30.066413004180493,154,1.0,Power Failure
291,M291,L,300.05951227899146,310.0426232973439,1530.1107339191742,29.841211730100216,39,1.0,Overstrain Failure
292,M292,H,301.876567611952,313.802381371506,1518.3834516322504,26.114574461687887,223,1.0,Power Failure
293,M293,L,298.96791054356527,309.87867837237076,1769.3033663980495,23.9972889549629,25,0.0,No Failure
294,M294,L,300.19224155388196,308.5831864661791,1534.9800024567908,27.82717307779521,26,0.0,No Failure
295,M295,M,299.07544942258994,306.97257121477435,1399.594540315799,41.59462506804129,189,1.0,Overstrain Failure
296,M296,M,299.1310075451354,306.3937206474881,1490.4535752910926,31.07212484508116,82,1.0,Heat Dissipation Failure
297,M297,M,299.3816557530627,306.831728113989,1322.3753666533548,45.13614464231096,127,1.0,Random Failure
298,M298,M,300.4442675432674,310.534253302023,1491.9400250703238,40.34713748752562,177,0.0,No Failure
299,M299,M,299.04250275667306,311.0174500464599,1416.6943942999242,20.314957865619462,169,0.0,No Failure
300,M300,H,302.51151225114705,306.83761859593574,1591.5390275560162,46.549755842216896,156,0.0,No Failure
301,M301,L,298.210785395561,311.79007662815224,1445.0459725404464,48.1079864559171,166,1.0,Power Failure
302,M302,L,299.6262567116773,309.0338778966331,1488.3234084204753,30.061373251651467,187,0.0,No Failure
303,M303,L,299.1205378834517,310.2935860239711,1436.4442158595596,44.20191542894992,168,0.0,No Failure
304,M304,L,302.8939557687075,313.22444125651083,1673.8851351853332,31.43501762590801,32,1.0,Random Failure
305,M305,M,300.3931095530231,311.79367863173104,1467.8757233882088,40.97670376748336,210,0.0,No Failure
306,M306,L,302.0636890789373,309.46293870418833,1683.25570434792,27.355015930450342,228,1.0,Overstrain Failure
307,M307,H,297.02887925392605,308.2176155491694,1581.4151762118267,22.068935474654232,210,0.0,No Failure
308,M308,H,300.53410053173855,305.69636919734137,1548.2066727335387,36.17182810387031,96,1.0,Overstrain Failure
309,M309,L,301.7792615912469,308.56169336151515,1536.873314731752,38.762710537251635,110,0.0,No Failure
310,M310,L,300.16456797855085,309.5777395223446,1539.3797298216252,36.02320306385396,15,1.0,Tool Wear Failure
311,M311,H,302.1309607501307,308.02564094569766,1307.232742065439,28.159694417774404,22,1.0,Tool Wear Failure
312,M312,H,298.96542309979924,309.7374860658154,1472.1116605849243,36.00100937868863,134,0.0,No Failure
313,M313,M,302.81869488037114,310.15370376591756,1584.5157971184321,42.69294752580734,25,0.0,No Failure
314,M314,H,304.5977962472385,309.55028803638385,1495.1102816525895,39.55106969877463,95,0.0,No Failure
315,M315,M,299.2743228791207,308.69999483835306,1359.4810153196424,41.82501030599214,11,0.0,No Failure
316,M316,M,299.10899495719843,310.33730934393344,1494.759554942253,33.29884799545767,71,1.0,Tool Wear Failure
317,M317,M,302.9067689542354,310.8838812991388,1670.410551625549,51.717179147161595,132,0.0,No Failure
318,M318,M,303.1591442914614,307.8192018451143,1624.6891715534719,28.238266634452195,105,0.0,No Failure
319,M319,M,298.9542799456935,312.82186475949254,1493.7995990633967,44.875602970867185,219,0.0,No Failure
320,M320,L,299.15962636580826,309.8028237354315,1595.1449277058086,51.81891092959962,116,1.0,Overstrain Failure
321,M321,H,299.436430782279,310.0376992458897,1463.3492979631949,44.80908092748896,196,1.0,Random Failure
322,M322,M,297.31109897793147,311.4164288465131,1329.612841317328,37.9747577293517,176,0.0,No Failure
323,M323,H,298.1626961070316,310.466432262527,1407.5534011870445,34.71702953337021,25,0.0,No Failure
324,M324,H,297.99171846649585,311.90627326782646,1656.2888768508199,50.36087651046256,132,0.0,No Failure
325,M325,M,298.46440486979174,310.57424833040363,1472.6006918170697,25.77025074738327,21,0.0,No Failure
326,M326,L,299.9306302252264,308.7751252507191,1475.661602062498,30.298757396203563,206,0.0,No Failure
327,M327,M,300.46842946507303,310.7230070504122,1470.016180372512,36.02442234508278,12,0.0,No Failure
328,M328,L,303.10100098562816,307.71254758535866,1690.4136589573006,52.37653757511998,155,0.0,No Failure
329,M329,H,298.0032919185224,310.217119411553,1662.5958915362064,43.79767636040896,160,0.0,No Failure
330,M330,L,301.9686447969532,309.9335400187111,1721.8780233448133,30.319542414897548,106,0.0,No Failure
331,M331,L,299.572022311549,309.58376628545494,1484.0954789599948,36.896922946150966,22,0.0,No Failure
332,M332,L,299.90107258069514,309.74292497712213,1529.5624488747096,33.85676855903706,96,0.0,No Failure
333,M333,H,301.3496389843332,306.23630190900474,1348.3357450579208,32.90211007766465,234,1.0,Power Failure
334,M334,H,297.7545559568754,308.9025501845181,1647.6934426118273,49.78889558556779,17,1.0,Heat Dissipation Failure
335,M335,L,300.7648194923681,310.18568980228224,1383.2220448732064,26.282568707364945,241,0.0,No Failure
336,M336,L,300.3329044164261,310.3197127839948,1521.6775563762628,56.087808557343735,116,0.0,No Failure
337,M337,M,300.9849025280163,307.94464971814807,1390.2697472367156,48.28229690184623,29,1.0,Power Failure
338,M338,L,300.57833728781566,312.5314156817294,1441.1133173261303,50.90861670603698,25,1.0,Random Failure
339,M339,M,304.9106002798218,308.267650303571,1416.27375689503,35.37060487974742,143,0.0,No Failure
340,M340,L,298.7245200314974,311.93891440105347,1439.212473932418,38.500592809208904,204,0.0,No Failure
341,M341,M,298.93800608999635,310.8543887237434,1446.0877296851022,25.66848185475288,38,0.0,No Failure
342,M342,H,298.75371894715045,308.7075453803124,1445.1731205074923,34.753375929331966,160,0.0,No Failure
343,M343,L,298.8890457616795,313.55062178521905,1583.3333911780308,44.93654847643151,153,0.0,No Failure
344,M344,L,298.725225745387,307.612726336487,1389.513720693748,52.96063061781396,175,0.0,No Failure
345,M345,L,302.3780330622151,311.83830834722,1522.0541427013866,28.928431831975484,192,0.0,No Failure
346,M346,L,302.84100849597974,312.00116463608595,1621.795915230556,36.34494063014734,240,0.0,No Failure
347,M347,M,298.85850741250107,308.6587595818467,1448.6803635486604,38.48700779767478,165,0.0,No Failure
348,M348,L,298.33528885379155,312.78493060012863,1428.20811092524,26.042107978075148,129,0.0,No Failure
349,M349,H,300.9428311127728,309.4999069708021,1476.947537481975,45.913492417584,112,0.0,No Failure
350,M350,H,298.89555391143807,310.5773872585597,1617.972520836071,32.76009668257391,133,0.0,No Failure
351,M351,L,301.26586363551104,310.52064367754247,1519.4107630953358,38.04609648822976,45,0.0,No Failure
352,M352,H,300.4058460417026,309.73138251705893,1446.8785705392402,35.48050628088122,49,1.0,Tool Wear Failure
353,M353,L,296.96851177000553,311.62161654631956,1548.387665118804,32.106614942803255,165,0.0,No Failure
354,M354,L,303.09501040266014,311.5869774411044,1389.7707850163576,39.929550145194455,105,1.0,Heat Dissipation Failure
355,M355,H,303.59175534619106,306.5029360535236,1568.1359510442949,37.84390421431978,215,1.0,Tool Wear Failure
356,M356,L,298.7744226190312,312.6086804857563,1540.8607307701768,36.281421177213346,145,0.0,No Failure
357,M357,H,299.22459688012805,306.67501602392866,1469.2191528861115,32.71538378319657,154,0.0,No Failure
358,M358,M,300.5717307814498,312.0650924086833,1416.1414201552768,43.195246707829554,168,0.0,No Failure
359,M359,L,300.66891357997406,312.25341027365516,1411.3319077716542,56.536172684922846,71,1.0,Tool Wear Failure
360,M360,M,301.31708854534565,307.8180671395696,1553.481733634591,41.39887232839127,219,1.0,Tool Wear Failure
361,M361,H,304.0204090775327,309.1783714240908,1622.8980502489062,49.96118214911129,73,1.0,Heat Dissipation Failure
362,M362,M,299.6461055450119,307.7885906630281,1436.2692252971206,26.097780748465375,16,0.0,No Failure
363,M363,M,298.4034055109231,309.57015793942253,1545.8386703551485,41.5776143929377,246,0.0,No Failure
364,M364,H,297.2413615439709,309.3839314316285,1291.2972981397932,29.026316810289334,189,0.0,No Failure
365,M365,M,298.5381399201162,311.55932106453866,1441.5382269342801,25.230750724680988,156,0.0,No Failure
366,M366,M,299.9337460542524,312.6206174922392,1496.89410671291,32.60628592540964,185,0.0,No Failure
367,M367,H,303.58911572703556,312.7913676215799,1409.0316583018166,51.91899334413573,69,0.0,No Failure
368,M368,M,298.9647774019277,308.8756639468434,1406.3493625210403,49.500158286696454,205,1.0,Power Failure
369,M369,H,300.4475759032778,309.58155625251095,1433.2220443531114,42.430047220544,149,0.0,No Failure
370,M370,M,299.9671542078545,306.6331236155581,1529.2192728326372,24.67299440110069,245,0.0,No Failure
371,M371,H,302.37678654689614,308.3882598670076,1481.2670981593626,38.03719348612063,5,0.0,No Failure
372,M372,H,305.0538648517472,311.9297032661949,1276.1768766675027,43.01700008901736,25,1.0,Tool Wear Failure
373,M373,M,298.93826245415937,313.2311656470965,1287.9299847364935,41.75536229578598,166,1.0,Heat Dissipation Failure
374,M374,M,299.02112111496353,307.53130225624017,1439.3134822142824,21.56206416519254,139,0.0,No Failure
375,M375,M,302.0883217541381,308.8150714816942,1545.7686586053553,31.09682151980128,98,0.0,No Failure
376,M376,L,301.3637829792526,309.94718848608215,1225.2495157274766,39.35922235851283,141,0.0,No Failure
377,M377,L,303.69341465147204,310.5603223176392,1450.0269823848369,45.3629090951719,21,1.0,Tool Wear Failure
378,M378,L,301.1678563706519,308.3807929601567,1447.375214348258,18.038721789000537,50,0.0,No Failure
379,M379,H,299.2814158184259,310.84812208892816,1638.8337778208447,38.37876024520141,150,0.0,No Failure
380,M380,M,301.1813096613846,309.0523213058582,1461.4978188287137,41.43048769878952,175,0.0,No Failure
381,M381,H,302.2174071611658,309.97109545824344,1538.2988984740928,48.49611988516213,198,0.0,No Failure
382,M382,L,301.64096436239475,311.0925684960074,1514.1257140087464,46.928575842374364,103,1.0,Overstrain Failure
383,M383,M,301.0145480622146,310.0128445396219,1286.94335201928,45.82571318808805,177,0.0,No Failure
384,M384,H,302.1333493791783,309.12722821894687,1576.8207216631738,32.00059493298066,88,0.0,No Failure
385,M385,M,302.33859118089134,309.78078039214836,1521.5396505456288,20.919978628766923,140,0.0,No Failure
386,M386,H,302.76431798207506,309.8232740815893,1550.8268639674588,36.06947242938599,212,0.0,No Failure
387,M387,M,301.29741977517926,309.25997794023573,1892.6237706436327,50.0163182520856,232,1.0,Tool Wear Failure
388,M388,L,299.66576383936626,309.4824078746658,1291.5887060501411,53.93454527524432,137,0.0,No Failure
389,M389,L,300.29342737286663,313.1972943410094,1672.4696649761108,47.10549102297785,244,1.0,Tool Wear Failure
390,M390,M,302.4130179330167,311.1218388958825,1471.2552480599645,44.29340822801734,182,1.0,Power Failure
391,M391,H,298.3661286580255,309.4090393639417,1528.732890440301,43.79639648385965,8,0.0,No Failure
392,M392,L,300.7373466177458,311.39390880902147,1495.4487754698757,34.43881253239219,78,0.0,No Failure
393,M393,L,299.2133223753453,309.332361020488,1457.5763666601956,38.6993970644638,51,0.0,No Failure
394,M394,L,300.0574896458696,312.3462492751733,1443.016707176124,56.69069525826331,129,1.0,Heat Dissipation Failure
395,M395,M,302.5569037252146,310.73928438439617,1532.9508735573008,30.574419942081235,152,0.0,No Failure
396,M396,M,300.3821981360398,309.78539571199155,1348.282630332832,56.14778790709852,12,0.0,No Failure
397,M397,H,300.0928730963123,310.89543385162057,1575.0579167521767,36.77971845507942,225,0.0,No Failure
398,M398,H,297.28028771804014,306.858247695863,1458.3805595114745,53.25432109095078,50,1.0,Heat Dissipation Failure
399,M399,H,301.4925071320544,307.7464650621804,1386.9930660959642,25.931849905024617,185,0.0,No Failure
400,M400,M,301.2909683622822,307.6121499872019,1454.9987142004186,45.859042011646494,33,0.0,No Failure
401,M401,M,304.32650944661094,310.2858861895274,1625.7149216862572,32.63229864052378,34,0.0,No Failure
402,M402,H,299.384443530094,313.4650299989702,1446.4664912983776,25.847328080758125,229,0.0,No Failure
403,M403,H,300.43830065532785,314.4626002923853,1535.8453618209621,42.185340424109455,130,1.0,Overstrain Failure
404,M404,M,300.4987673674215,311.27610220288153,1426.9043724284527,50.09471788595969,233,0.0,No Failure
405,M405,H,303.1549065595269,311.0016889498889,1575.7921849923619,31.550585614065035,119,1.0,Overstrain Failure
406,M406,L,299.8094089352261,306.3978845316945,1568.5507738790204,25.00984039541599,186,0.0,No Failure
407,M407,M,300.55804305154066,308.91465240053196,1684.8608833296412,39.08155235665045,69,0.0,No Failure
408,M408,H,301.2157930194331,308.4244324961835,1482.4436054500784,39.12564671222819,246,0.0,No Failure
409,M409,M,300.3732182463127,308.75830480349777,1566.8654804757907,45.483196275544984,175,0.0,No Failure
410,M410,L,299.10713277089894,309.66371236283044,1509.8067539538945,49.495945713644886,191,0.0,No Failure
411,M411,M,300.3881799857966,309.05581884460577,1629.5871781863013,39.40584818727506,240,0.0,No Failure
412,M412,M,302.14726349971954,306.04140037924844,1428.1167612391268,58.55503314794263,146,0.0,No Failure
413,M413,M,297.94696940117785,311.49582051223507,1574.500531287728,42.24234744535292,66,0.0,No Failure
414,M414,M,300.2659393482937,307.8545139485204,1480.530270388332,36.535734939931004,209,0.0,No Failure
415,M415,L,298.59975837012166,310.4784937282223,1493.5811822891503,23.88432640897172,102,1.0,Tool Wear Failure
416,M416,M,302.3900932578497,314.14816533949994,1509.1752484448373,37.37340479683832,72,0.0,No Failure
417,M417,M,296.95362619043243,308.1612308168271,1525.2240396426678,36.63613054588864,115,0.0,No Failure
418,M418,H,298.8821563054568,304.93942495450733,1488.3770956878043,49.6030479628147,203,0.0,No Failure
419,M419,M,300.75442375012904,309.42799155623976,1521.4713183170527,44.62483624066854,132,1.0,Power Failure
420,M420,H,303.1310480584687,312.2019192699971,1657.8118057562185,28.206308783673826,66,1.0,Power Failure
421,M421,L,299.868499477854,313.9166949084412,1598.5449685615217,41.72254386411038,138,0.0,No Failure
422,M422,L,298.8896009466136,307.5409008110952,1586.9154592496895,46.71531171729053,120,1.0,Tool Wear Failure
423,M423,L,303.76231413888115,310.99339844647307,1454.446047397613,55.280313593878326,93,0.0,No Failure
424,M424,L,297.1039721991675,309.0693790864399,1411.0759171771676,48.875039674140595,195,0.0,No Failure
425,M425,H,295.60238808675985,309.78810329139174,1595.5300558237752,47.60846654311478,196,1.0,Tool Wear Failure
426,M426,M,300.88002890010665,315.2886866940341,1587.6046792529794,40.60085994615164,128,1.0,Tool Wear Failure
427,M427,L,298.9958915512948,306.9940593432097,1647.2670675750983,43.883120054234496,90,0.0,No Failure
428,M428,M,297.9575343657386,310.5074793229891,1439.601937403077,52.49504900706159,91,1.0,Tool Wear Failure
429,M429,H,301.41671289459873,310.93538634353087,1477.0451344639653,26.672226025203503,62,0.0,No Failure
430,M430,H,300.4876014275424,312.17157264987867,1336.0515837474566,36.50560672783044,28,1.0,Tool Wear Failure
431,M431,H,298.87184273852654,310.1959663069418,1460.7528893939127,32.27431251243759,209,0.0,No Failure
432,M432,L,297.4393912026582,310.6161010790082,1599.6570510579447,43.79153118726124,11,0.0,No Failure
433,M433,M,301.7449146565603,309.21670286515644,1453.3504620771803,52.302221756507876,76,0.0,No Failure
434,M434,M,301.3004023559173,310.5382538824902,1564.0479795200824,34.03025713278926,40,0.0,No Failure
435,M435,M,299.80164827244124,309.31361544900517,1480.9496894002189,16.09695632530562,129,0.0,No Failure
436,M436,H,303.6932739920953,311.2431437797121,1532.4057028221562,35.8777925497553,36,0.0,No Failure
437,M437,L,297.8598304673477,309.26077932791276,1385.2308610184332,49.13473732017407,172,0.0,No Failure
438,M438,H,296.9489496581505,310.7542007878044,1508.52094496339,45.376299029498796,207,0.0,No Failure
439,M439,H,298.6161838602375,309.94147437263007,1200.8864029099277,44.281862478105765,175,0.0,No Failure
440,M440,M,299.908827967289,312.25210050154436,1481.3103841838015,37.200066981255205,23,0.0,No Failure
441,M441,H,300.4866788986454,309.897212552823,1336.952675628486,27.209692637802135,98,0.0,No Failure
442,M442,M,299.51752788428735,306.45393506358624,1620.5994516546816,45.15294321624467,149,1.0,Heat Dissipation Failure
443,M443,L,300.7041107930286,312.52384300142796,1577.7407352764512,31.65718189965375,99,1.0,Tool Wear Failure
444,M444,M,297.4969211516191,308.1885353982748,1546.667098196608,61.840967333804564,138,1.0,Power Failure
445,M445,L,302.88752920814653,308.6924673227024,1652.100622715938,45.70507208354516,246,0.0,No Failure
446,M446,M,299.83569764321487,308.80867741191304,1405.1083479175163,34.19351697446049,57,1.0,Heat Dissipation Failure
447,M447,H,302.2345916631763,312.74887618634165,1674.7363197915558,33.88614752611372,173,0.0,No Failure
448,M448,H,300.6854506927554,305.7286515720426,1593.2191564260386,39.070557933864116,28,0.0,No Failure
449,M449,L,300.9135064383076,316.27549706732,1476.3444712781054,37.6049807797825,162,0.0,No Failure
450,M450,L,301.1395345604644,312.1121136181321,1613.5620147182944,51.16833775529955,239,1.0,Overstrain Failure
451,M451,L,300.8954171200346,310.4464778282583,1389.3706487588365,41.864161697440466,245,0.0,No Failure
452,M452,M,301.2854455197351,309.8902119987674,1417.5485838472327,32.683682610914715,142,0.0,No Failure
453,M453,M,302.65830506026487,310.5711081497153,1439.14102767603,58.90440685155782,59,0.0,No Failure
454,M454,L,300.39304233940294,311.04224485675866,1447.1022291935985,40.49308331520223,94,1.0,Tool Wear Failure
455,M455,H,301.418007515177,311.29043117190014,1394.3442357239746,47.68839675968897,41,0.0,No Failure
456,M456,M,299.8205286114256,311.1112089320069,1622.3083067095324,33.91773492555241,232,0.0,No Failure
457,M457,M,302.88023443089895,310.1791613625105,1474.1145599630167,43.631156277445236,42,0.0,No Failure
458,M458,M,298.64721539588146,309.60532315938536,1535.250496835688,43.11109991143195,207,0.0,No Failure
459,M459,L,303.6018808658216,309.69745343269295,1442.9648633586319,21.103507079038472,73,0.0,No Failure
460,M460,L,299.9196840987113,309.61018343929464,1317.9396699451484,60.1527511046064,176,0.0,No Failure
461,M461,L,297.1384497957639,312.26754019373413,1527.0057358391423,52.906444609225474,191,1.0,Tool Wear Failure
462,M462,L,300.25620882982156,311.1871134445617,1308.7745024580222,36.02804683854012,159,0.0,No Failure
463,M463,L,298.63789668505024,304.1192227306714,1493.136595391453,28.977302595441444,63,0.0,No Failure
464,M464,H,301.6812870979775,311.3118015530595,1363.1684961167189,43.47561613803552,242,0.0,No Failure
465,M465,H,298.6947520413952,310.38947238943757,1698.7275999230808,40.86697699414397,1,0.0,No Failure
466,M466,L,299.10763313357046,309.9625824871082,1591.1362722174722,43.55668948563229,151,0.0,No Failure
467,M467,M,296.22091853810895,309.2229630938222,1510.5753791271482,41.91577396194089,214,0.0,No Failure
468,M468,L,299.0953873615018,312.24822543997203,1626.3706677654668,45.06240989305926,65,0.0,No Failure
469,M469,H,295.1522413467421,311.8950529242457,1415.3684022534264,54.473056993918064,165,1.0,Power Failure
470,M470,H,296.83219435302857,308.45424466435276,1554.3479378670093,45.681032051286465,30,0.0,No Failure
471,M471,M,301.5208293122886,310.8141045742491,1519.9810433718712,29.503445010900588,114,0.0,No Failure
472,M472,H,301.57160031730166,308.05668653091743,1526.402008133367,53.62562852712452,231,1.0,Overstrain Failure
473,M473,L,300.8509151235699,307.24076367042215,1627.2353500106767,56.406145634882876,25,0.0,No Failure
474,M474,M,298.06604771374157,308.7465655508201,1573.2492102779802,71.52056734512085,28,1.0,Heat Dissipation Failure
475,M475,L,299.90457728771605,311.7247869447655,1528.8723662825023,28.76505966760402,194,0.0,No Failure
476,M476,L,299.99279492181887,311.90625009075217,1334.5112563771704,42.42882013150275,249,0.0,No Failure
477,M477,M,297.6832706216149,311.0261708401946,1403.9953704720535,19.17901296811013,77,1.0,Overstrain Failure
478,M478,L,303.0067966035343,311.450191573696,1487.7291066404275,45.53149156379209,24,0.0,No Failure
479,M479,H,301.7547245811513,311.03235657422994,1509.337237427665,34.517997018332274,47,0.0,No Failure
480,M480,L,299.5580716523407,308.7170368095541,1386.9796275326075,59.23445794824953,64,1.0,Heat Dissipation Failure
481,M481,M,300.05377167798906,310.8638450893479,1741.1676675578422,32.25385029981418,180,0.0,No Failure
482,M482,M,300.4167656158951,311.60081905045536,1651.6394055253572,23.108169620327384,66,0.0,No Failure
483,M483,M,295.9165302631514,311.50858265962717,1560.2118320392483,35.2873625929748,245,0.0,No Failure
484,M484,L,299.5056452349588,312.3778267429493,1507.2036861283746,20.245122287828625,89,1.0,Overstrain Failure
485,M485,M,298.6360315040044,311.4166076944021,1478.779103009885,47.5109945450731,145,1.0,Tool Wear Failure
486,M486,M,297.9967599802102,310.70289641508316,1404.8081539977763,19.349169537436794,136,0.0,No Failure
487,M487,L,299.4377994142281,312.14030047663283,1507.7480518518862,40.28457581183159,37,0.0,No Failure
488,M488,H,303.59537305369906,309.9469574815019,1525.775254014275,19.22188180143803,86,1.0,Tool Wear Failure
489,M489,L,301.281685722534,308.23625069754456,1375.8239424518376,36.79702195463358,148,0.0,No Failure
490,M490,M,298.8576420204344,309.67386607211245,1533.4176417244898,56.43378155804534,248,0.0,No Failure
491,M491,M,301.1451655627123,308.5101947103871,1484.4740951175252,43.60647891435795,64,1.0,Heat Dissipation Failure
492,M492,L,302.798710873172,308.64964345005126,1309.219244212261,31.36506395035066,148,1.0,Overstrain Failure
493,M493,H,301.84926736582554,309.710962658569,1413.9614989220497,39.68796511060916,26,1.0,Tool Wear Failure
494,M494,M,300.11926073984034,308.4151601580001,1458.6394466578356,40.18016872044446,105,0.0,No Failure
495,M495,M,298.70612644458885,309.3840769407219,1688.768765734019,44.72630345843406,122,0.0,No Failure
496,M496,M,301.3964466272272,306.2127706660924,1555.6553124533757,26.331416367191736,197,0.0,No Failure
497,M497,L,300.7869707708435,310.4265874147459,1366.451843090011,45.92567273847331,246,0.0,No Failure
498,M498,M,301.79038644005544,310.0024109507244,1548.6036289417636,12.956083683972249,43,0.0,No Failure
499,M499,H,301.2703436033639,308.3658227378636,1345.2696011061635,33.70115447636189,99,1.0,Power Failure
500,M500,M,302.09910543063864,311.31849133686484,1608.2691053887074,35.117261575484555,27,0.0,No Failure
501,M501,M,298.92952957687885,311.8751402752531,1452.887534818212,46.33326826071239,172,1.0,Overstrain Failure
502,M502,H,302.63478813126864,306.78488027126207,1490.6363811260828,40.22630852676869,16,0.0,No Failure
503,M503,M,300.3951992093848,308.47455044286755,1632.579664754219,25.944369461437134,126,0.0,No Failure
504,M504,L,304.15052174525056,308.4617153004254,1371.2836431415749,30.15006874182985,122,0.0,No Failure
505,M505,L,298.62162436382084,308.1201937977823,1360.288181488701,41.98680009547407,167,0.0,No Failure
506,M506,L,303.4719276063305,311.6589496838635,1441.6400673653995,39.20932658135444,249,0.0,No Failure
507,M507,H,300.3958215669253,309.6123477224544,1603.8378851019318,34.20875890364253,243,1.0,Random Failure
508,M508,M,298.6971639927711,309.4709703173788,1348.0653924523158,35.19166210488021,130,1.0,Overstrain Failure
509,M509,L,299.03222833189136,305.9922752711865,1216.784440188943,46.961679971592886,75,0.0,No Failure
510,M510,H,299.35930538361134,311.27083606041845,1454.8841141591001,34.82307427130785,230,0.0,No Failure
511,M511,M,300.84833189280386,307.52148321029307,1555.174079991092,39.119087559709264,203,1.0,Tool Wear Failure
512,M512,H,301.045670976071,310.11986526053266,1620.026174973883,61.69936588080543,193,0.0,No Failure
513,M513,L,298.85259999212286,310.5547538759164,1453.68386379146,25.763173631160768,247,0.0,No Failure
514,M514,L,299.95129081547805,312.7213171916773,1458.8573392883998,21.481572684253415,45,0.0,No Failure
515,M515,L,304.2845407172237,307.3823592017618,1615.3900734255747,47.83589664798607,213,1.0,Tool Wear Failure
516,M516,H,303.45508634020143,303.96097568835836,1313.0258300304579,33.21356938705897,214,0.0,No Failure
517,M517,H,300.8726473393481,310.36769908950737,1461.147922481699,36.8176247225738,157,0.0,No Failure
518,M518,L,300.0760069563364,313.6010223630217,1519.0423889925057,32.18843621868886,68,1.0,Tool Wear Failure
519,M519,H,300.2400626534365,312.4778927058789,1544.9218721285033,37.40199859232487,136,0.0,No Failure
520,M520,L,301.22703594546084,310.41931883054923,1449.0193306809117,55.98538112096341,84,0.0,No Failure
521,M521,L,297.95441486960317,309.0167276287359,1503.4441011705842,48.021284586181196,10,0.0,No Failure
522,M522,M,299.4852469251533,311.6142451932746,1251.167264658701,48.62223511886977,68,1.0,Tool Wear Failure
523,M523,H,296.66283185224484,308.0529076005911,1434.1751587666151,25.837729442073545,98,0.0,No Failure
524,M524,L,300.7984462452106,310.9527155387124,1545.3508712554467,28.488462634471308,90,1.0,Random Failure
525,M525,L,301.2943918794055,311.01094031833327,1401.770596574532,11.60921340514573,240,0.0,No Failure
526,M526,H,299.0336270754012,312.1204198149978,1505.8984221589596,31.90619178917246,193,0.0,No Failure
527,M527,M,303.1479735265801,315.51932007782216,1544.68725008027,49.567031863856585,215,1.0,Random Failure
528,M528,M,297.54846867399533,310.78483193435756,1465.7450799142234,45.16946515748371,158,0.0,No Failure
529,M529,L,297.07125023958037,308.982072748585,1517.046377099657,37.784867370478764,160,0.0,No Failure
530,M530,H,300.44890363711994,309.948851375616,1403.7267434715388,39.77699716281947,166,0.0,No Failure
531,M531,M,302.0941966052243,306.46184819022176,1479.3388720303954,33.11114457424594,93,0.0,No Failure
532,M532,H,303.36785538291576,308.6105737378219,1561.0216169589223,42.04758882401784,173,0.0,No Failure
533,M533,H,299.08223147426213,309.1814351237738,1515.6972960968435,47.65878279480615,164,0.0,No Failure
534,M534,L,302.1573616668626,308.9518232041308,1441.3468730436064,23.84113212589527,114,0.0,No Failure
